Gene,Cluster
hsa:613,77
hsa:354,87
hsa:1432,66
hsa:247,79
hsa:2572,19
hsa:29922,36
hsa:8372,9
hsa:22900,26
hsa:407044,41
cpd:C13050,0
cpd:C20971,0
hsa:26528,27
hsa:10254,27
hsa:727897,40
hsa:51079,29
hsa:79728,77
hsa:138429,34
hsa:6597,85
hsa:23395,82
hsa:10654,77
hsa:25796,77
hsa:490,85
hsa:23418,61
hsa:92,3
hsa:127829,76
hsa:1535,27
hsa:3312,5
hsa:4047,54
hsa:5788,54
hsa:9368,27
hsa:995,85
hsa:238,59
hsa:65082,87
hsa:2328,68
hsa:11343,79
hsa:190,25
cpd:C00942,54
hsa:2239,42
hsa:890,36
hsa:994,43
hsa:2799,41
hsa:132,77
hsa:7920,70
hsa:406949,3
hsa:29920,33
hsa:3109,33
hsa:9162,43
hsa:29895,43
hsa:9601,29
hsa:4286,87
hsa:7410,59
hsa:3706,90
hsa:55315,1
cpd:C00044,77
hsa:2978,77
hsa:7201,87
hsa:79660,74
hsa:59285,66
hsa:7169,23
hsa:2783,55
hsa:2149,6
hsa:4245,76
hsa:442910,12
cpd:C00035,0
hsa:1608,0
path:hsa00190,54
hsa:1847,43
hsa:730,57
hsa:1436,78
hsa:10948,78
hsa:9051,70
hsa:51181,14
hsa:3604,43
hsa:1869,27
hsa:151449,30
hsa:4843,62
hsa:5573,33
hsa:83734,73
hsa:54361,54
hsa:4705,3
hsa:64689,87
hsa:10207,49
hsa:51209,87
hsa:5010,3
hsa:5091,16
hsa:84699,59
hsa:27342,31
hsa:1844,87
hsa:80055,60
hsa:10449,77
hsa:89780,5
hsa:221823,87
hsa:83447,56
hsa:2767,30
hsa:3948,91
hsa:8565,21
hsa:5188,49
hsa:60485,62
hsa:55970,31
hsa:2581,29
hsa:2651,6
hsa:63940,31
hsa:7414,43
hsa:2917,43
hsa:4772,77
hsa:627,77
cpd:C04805,29
hsa:6237,79
hsa:3845,85
hsa:581,47
hsa:164284,16
hsa:1495,85
hsa:1111,87
hsa:407016,36
hsa:407032,3
hsa:5932,54
hsa:5566,10
hsa:3418,57
hsa:1373,3
hsa:10159,61
hsa:652,29
hsa:4261,5
hsa:1890,43
hsa:2562,66
hsa:9894,76
hsa:55967,77
hsa:961,0
hsa:9817,44
hsa:3441,3
hsa:6603,14
hsa:2688,5
hsa:55012,59
hsa:1364,54
cpd:C03262,30
hsa:5624,66
hsa:2982,77
hsa:441531,40
hsa:22801,40
hsa:4137,5
hsa:3171,5
hsa:5257,77
hsa:6932,31
hsa:55615,23
hsa:4988,86
hsa:5879,47
hsa:3663,37
hsa:6307,81
hsa:91,77
hsa:7364,79
hsa:801,49
hsa:6196,12
hsa:9230,9
hsa:116442,54
hsa:1442,69
hsa:59272,27
hsa:8692,27
hsa:7471,1
hsa:8550,78
hsa:861,23
hsa:2740,23
path:hsa00480,77
hsa:57134,77
hsa:840,76
hsa:4600,48
hsa:8821,23
hsa:10211,10
hsa:8826,43
hsa:3897,41
hsa:3420,55
hsa:406928,67
hsa:10645,29
hsa:11026,10
hsa:127,54
hsa:7018,6
hsa:4311,14
hsa:3929,23
hsa:65258,48
hsa:4759,26
hsa:10767,75
hsa:6368,70
hsa:553,67
hsa:8760,87
cpd:C21279,54
hsa:2528,27
hsa:5867,46
hsa:56288,16
hsa:10451,77
hsa:7307,3
hsa:284217,87
hsa:6712,5
hsa:22871,29
hsa:55300,79
hsa:391013,29
hsa:2023,79
hsa:54894,3
hsa:144193,82
cpd:C00369,16
path:map00680,77
hsa:54577,77
hsa:7083,59
path:hsa00604,76
hsa:59067,49
hsa:270,91
hsa:10092,3
hsa:9821,7
hsa:2248,85
hsa:8529,37
hsa:5601,24
hsa:111,17
hsa:27125,85
hsa:7365,77
cpd:C00195,48
hsa:1258,3
path:map00902,19
hsa:84649,0
hsa:2122,53
hsa:10110,25
hsa:200186,76
hsa:4359,20
hsa:93589,87
hsa:112714,87
hsa:7846,18
hsa:3600,45
hsa:4637,3
hsa:5606,5
hsa:522,87
hsa:3326,10
hsa:10892,77
hsa:7099,10
hsa:1524,7
hsa:4719,25
hsa:534,43
hsa:4598,32
hsa:2710,19
hsa:117145,70
hsa:27091,33
hsa:10411,57
hsa:665,57
hsa:8881,5
hsa:189,56
hsa:169355,67
hsa:811,77
hsa:9470,87
hsa:440567,87
hsa:3778,74
hsa:4352,23
hsa:27124,41
hsa:58510,32
cpd:C03990,19
hsa:7456,36
hsa:5298,5
hsa:196883,48
hsa:51060,0
hsa:51806,62
hsa:3020,76
hsa:27128,34
hsa:2218,87
hsa:115201,86
cpd:C22540,46
hsa:108,54
hsa:406912,76
hsa:48,5
hsa:158,78
hsa:3449,74
hsa:102800317,74
hsa:2204,90
hsa:1548,87
hsa:27035,44
hsa:94235,44
gl:G13063,77
hsa:50,49
hsa:79966,64
hsa:5602,10
hsa:3161,1
hsa:4696,1
hsa:199713,44
hsa:10014,35
hsa:6548,77
hsa:79092,77
hsa:4688,76
hsa:2180,35
hsa:8794,87
hsa:2912,54
hsa:911,5
hsa:10482,37
hsa:8564,3
hsa:6366,54
hsa:3808,44
hsa:8678,87
cpd:C00025,81
hsa:5142,5
hsa:953,62
hsa:3361,74
hsa:3080,75
cpd:C00080,77
hsa:5562,54
hsa:51529,87
hsa:29896,62
hsa:3597,12
hsa:22929,12
hsa:123099,91
hsa:51311,87
hsa:5861,87
hsa:3480,77
hsa:25902,6
hsa:10319,5
hsa:124454,21
hsa:1896,27
hsa:5648,19
hsa:1029,74
hsa:55515,36
hsa:8912,87
cpd:C03758,5
hsa:90423,77
hsa:8074,80
hsa:125061,5
hsa:7478,5
hsa:81839,55
hsa:9104,66
hsa:6616,91
hsa:3270,77
hsa:120227,73
hsa:114879,10
path:hsa00600,47
cpd:C05966,74
hsa:7430,20
hsa:955,39
hsa:10498,48
cpd:C00951,77
cpd:C00144,36
hsa:152138,27
hsa:4060,27
hsa:5170,3
hsa:29126,12
hsa:388372,34
hsa:7297,1
hsa:3824,58
hsa:805,18
hsa:139341,18
hsa:4190,78
hsa:3043,54
path:hsa00511,0
hsa:9489,53
hsa:140465,87
hsa:3055,77
hsa:1633,67
hsa:2066,68
hsa:4035,86
hsa:57105,5
cpd:C03379,87
hsa:9899,89
hsa:2054,1
hsa:9882,58
hsa:256435,49
hsa:7096,51
hsa:1788,29
hsa:685,29
hsa:2935,84
hsa:10241,5
cpd:C00535,5
hsa:9350,1
cpd:C00551,73
hsa:23291,3
hsa:256076,29
hsa:523,5
hsa:392255,62
hsa:5831,87
cpd:C05151,36
hsa:1638,71
hsa:1390,77
hsa:5213,85
hsa:3565,77
hsa:50649,13
hsa:123876,87
hsa:3930,5
hsa:64170,29
hsa:23410,23
hsa:4247,34
cpd:C14818,23
hsa:406982,10
hsa:6279,54
path:hsa00010,68
hsa:50964,51
hsa:22978,55
hsa:3399,53
hsa:781,77
hsa:147,87
hsa:9748,77
hsa:3766,77
cpd:C00219,1
hsa:8411,1
hsa:4342,50
hsa:56302,66
hsa:10488,76
hsa:8853,85
hsa:51744,29
hsa:406891,29
hsa:940,35
hsa:6583,9
hsa:2769,83
cpd:C00464,12
hsa:7431,54
hsa:406948,23
hsa:54884,87
hsa:284958,29
hsa:10678,70
hsa:81929,30
hsa:23171,5
hsa:84152,81
hsa:3592,81
hsa:824,49
hsa:6382,77
hsa:1643,49
hsa:53343,52
hsa:10368,49
cpd:C07593,87
hsa:915,19
hsa:4086,3
hsa:100132074,54
hsa:23417,66
hsa:2158,77
hsa:1133,88
hsa:1119,49
hsa:5465,59
hsa:84620,79
hsa:3598,36
hsa:529,85
hsa:8622,70
hsa:387787,5
path:hsa00565,73
hsa:149461,29
hsa:56603,74
cpd:C00072,61
hsa:8718,85
hsa:23414,72
hsa:5580,87
hsa:6240,87
hsa:9626,76
hsa:406938,75
hsa:2730,64
hsa:4486,64
hsa:27329,75
hsa:971,77
hsa:115727,79
hsa:1816,30
hsa:23438,77
hsa:3707,87
hsa:348,67
hsa:4791,55
hsa:3073,55
hsa:3931,90
hsa:57186,24
hsa:3831,5
hsa:6857,87
hsa:51585,23
hsa:7436,87
hsa:8443,77
hsa:492,36
hsa:1073,6
hsa:11073,8
hsa:4704,23
hsa:960,9
hsa:26986,85
hsa:65018,85
hsa:1147,76
hsa:58476,3
hsa:9517,59
hsa:407024,19
hsa:398,29
hsa:3784,29
hsa:2167,1
hsa:2495,1
hsa:52,78
hsa:3727,78
hsa:3135,37
hsa:5329,15
hsa:2318,10
hsa:5587,23
hsa:283455,84
hsa:10683,84
hsa:7474,87
hsa:27086,32
dr:D00842,79
hsa:27101,89
hsa:3759,36
hsa:9896,85
hsa:406881,19
hsa:608,86
hsa:122809,87
hsa:84433,73
hsa:119548,87
hsa:10555,66
hsa:117,51
hsa:4713,0
hsa:83660,29
hsa:27006,29
hsa:9446,87
hsa:3000,70
hsa:695,62
hsa:1259,9
hsa:3091,3
hsa:5152,85
hsa:815,10
hsa:84274,66
hsa:2244,18
hsa:5881,18
hsa:23659,87
hsa:841,54
hsa:80380,77
hsa:4055,29
hsa:10718,7
hsa:716,43
hsa:795,23
hsa:54331,77
hsa:8525,3
hsa:3654,23
hsa:5994,10
hsa:92597,40
hsa:2877,48
hsa:6199,54
hsa:53632,9
cpd:C00350,26
path:hsa00740,86
hsa:406889,87
hsa:6295,1
hsa:203,77
hsa:217,61
hsa:7293,24
cpd:C00122,7
hsa:406999,86
hsa:5519,77
hsa:140,77
hsa:3804,50
hsa:4360,50
hsa:51330,74
hsa:10162,7
hsa:2177,56
hsa:528,28
hsa:83937,28
hsa:3158,37
hsa:4543,91
hsa:8898,3
hsa:5832,23
cpd:C00469,20
hsa:80824,81
hsa:3164,14
path:map00909,5
hsa:645974,5
hsa:4902,11
hsa:26279,3
hsa:8878,61
hsa:154796,68
hsa:56848,21
hsa:58472,77
hsa:57494,29
hsa:3577,30
hsa:8767,71
hsa:55750,49
hsa:9588,10
hsa:10686,85
hsa:80237,57
hsa:1263,23
hsa:27068,87
hsa:7385,81
cpd:C16547,81
hsa:105180391,16
hsa:2564,9
hsa:51266,23
hsa:1944,77
hsa:6783,53
hsa:26281,3
hsa:80834,77
hsa:1491,86
hsa:10269,70
hsa:51534,60
hsa:51422,87
hsa:4036,87
hsa:4864,23
hsa:5600,38
hsa:3177,29
hsa:3561,5
hsa:3791,33
path:hsa00534,5
hsa:2729,87
hsa:1954,61
hsa:4799,30
hsa:23048,46
cpd:C01921,87
hsa:79603,75
hsa:7357,49
hsa:4879,43
hsa:9227,77
hsa:5578,61
hsa:8351,2
hsa:5328,2
hsa:643246,38
hsa:1942,5
hsa:154807,55
hsa:100132285,77
hsa:406956,43
hsa:1374,79
hsa:7298,65
hsa:9583,84
hsa:5778,40
hsa:119504,33
hsa:4920,87
hsa:6469,59
hsa:5216,1
hsa:26119,1
hsa:115,3
hsa:7170,9
hsa:1388,1
hsa:3074,3
hsa:7417,9
gl:G13112,70
hsa:284716,44
hsa:1544,35
hsa:1592,49
hsa:5501,87
hsa:8513,49
hsa:472,63
hsa:462,31
hsa:7855,39
hsa:5476,77
hsa:246,13
hsa:6810,91
cpd:C20171,42
hsa:8503,10
hsa:2002,23
hsa:6517,73
hsa:5062,39
hsa:4312,87
